Bronze,,,,Silver,,,,,Gold,,,,
trade_family,trade_group,trade_type,xpath,enriched_table,column_name,datatype,nullable,default,curated_table,curated_field_mapping,transforamtion,ESB,
IRD,CS,,/MxML/trades/trade/tradeHeader/tradeCategory/tradeType,murex_trade_ird_cs,trade_type,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/tradeCategory/typology,murex_trade_ird_cs,typology,StringType,TRUE,,,TYPOLOGY,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/tradeCategory/mainTypologyPath,murex_trade_ird_cs,main_typology_path,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/tradeCategory/usage,murex_trade_ird_cs,usage,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/portfolios/portfolio/portfolioLabel,murex_trade_ird_cs,portfolio_label,StringType,TRUE,,,PORTFOLIO,,,
IRD,CS,,"/MxML/trades/trade/parties/party[partyName != ""Mizuho Int PLC""]/@id",murex_trade_ird_cs,counter_party_id,StringType,TRUE,,,,,,
IRD,CS,,"/MxML/trades/trade/parties/party[partyName != ""Mizuho Int PLC""]/partyName",murex_trade_ird_cs,counter_party_name,StringType,TRUE,,,CP,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=1]/payerPartyReference/@href,murex_trade_ird_cs,leg0_payer_party_reference,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=1]/receiverPartyReference/@href,murex_trade_ird_cs,leg0_receiver_party_reference,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=1]/payReceive,murex_trade_ird_cs,leg0_pay_receive,StringType,TRUE,,,L0PR,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream/streamTemplate[leg=1]/payoutType,murex_trade_ird_cs,leg0_payout_type,StringType,TRUE,,,LEG0FV,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream/streamTemplate[leg=1]/floatingRateStreamTemplate/index/indexLabel,murex_trade_ird_cs,leg0_index_label,StringType,TRUE,,,LEG0IND,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream/streamTemplate[leg=1]/rateConvention/rateConventionLabel,murex_trade_ird_cs,leg0_rate_convention_label,StringType,TRUE,,,LEG0DC,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream/streamTemplate[leg=1]/streamSchedules/calculationSchedule/frequency/periodUnit,murex_trade_ird_cs,leg0_frequency_period_unit,StringType,TRUE,,,LEG0PFREQ,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream/streamTemplate[leg=1]/streamSchedules/calculationSchedule/frequency/periodMultiplier,murex_trade_ird_cs,leg0_frequency_period_multiplier,IntegerType,TRUE,,,LEG0PFREQ,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=1]/cashFlows/interestFlows/interestPaymentPeriod[1]/calculationPeriod/notionalAmount,murex_trade_ird_cs,leg0_notional_amount,DecimalType,TRUE,,,LEG0NOM,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=1]/capital/referenceCapitalCurrency,murex_trade_ird_cs,leg0_reference_capital_currency,StringType,TRUE,,,LEG0CUR,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=1]/fixedRateStream/fixedRate,murex_trade_ird_cs,leg0_fixed_rate,DecimalType,TRUE,0,,LEG0RATE,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=1]/floatingRateStream/margin,murex_trade_ird_cs,leg0_margin,DecimalType,TRUE,0,,LEG0MARGIN,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=1]/effectiveDate,murex_trade_ird_cs,leg0_effective_date,StringType,TRUE,,,LEG0S,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=1]/maturity,murex_trade_ird_cs,leg0_maturity,StringType,TRUE,,,LEG0E,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=2]/payerPartyReference/@href,murex_trade_ird_cs,leg1_payer_party_reference,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=2]/receiverPartyReference/@href,murex_trade_ird_cs,leg1_receiver_party_reference,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=2]/payReceive,murex_trade_ird_cs,leg1_pay_receive,StringType,TRUE,,,LEG1PR,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream/streamTemplate[leg=2]/payoutType,murex_trade_ird_cs,leg1_payout_type,StringType,TRUE,,,LEG1FV,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream/streamTemplate[leg=2]/floatingRateStreamTemplate/index/indexLabel,murex_trade_ird_cs,leg1_index_label,StringType,TRUE,,,LEG1IND,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream/streamTemplate[leg=2]/rateConvention/rateConventionLabel,murex_trade_ird_cs,leg1_rate_convention_label,StringType,TRUE,,,LEG1DC,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream/streamTemplate[leg=2]/streamSchedules/calculationSchedule/frequency/periodUnit,murex_trade_ird_cs,leg1_frequency_period_unit,StringType,TRUE,,,LEG1PFREQ,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream/streamTemplate[leg=2]/streamSchedules/calculationSchedule/frequency/periodMultiplier,murex_trade_ird_cs,leg1_frequency_period_multiplier,IntegerType,TRUE,,,LEG1PFREQ,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=2]/cashFlows/interestFlows/interestPaymentPeriod[1]/calculationPeriod/notionalAmount,murex_trade_ird_cs,leg1_notional_amount,DecimalType,TRUE,,,LEG1NOM,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=2]/capital/referenceCapitalCurrency,murex_trade_ird_cs,leg1_reference_capital_currency,StringType,TRUE,,,LEG1CUR,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=2]/fixedRateStream/fixedRate,murex_trade_ird_cs,leg1_fixed_rate,DecimalType,TRUE,0,,LEG1RATE,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=2]/floatingRateStream/margin,murex_trade_ird_cs,leg1_margin,DecimalType,TRUE,0,,LEG1MARGIN,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=2]/effectiveDate,murex_trade_ird_cs,leg1_effective_date,DateType,TRUE,,,LEG1S,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=2]/maturity,murex_trade_ird_cs,leg1_maturity,DateType,TRUE,,,LEG1E,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/tradeCategory/collateralAgreementCategory,murex_trade_ird_cs,collateral_agreement_category,StringType,TRUE,,,CSA,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/stream[streamTemplate/leg=1]/cashFlows/interestFlows/interestPaymentPeriod[1]/calculationPeriod/notionalAmount,murex_trade_ird_cs,trade_amount,DecimalType,TRUE,,,TRADED_AMT,,,
IRD,IRS,,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/tradeId/tradeGlobalId,murex_trade_ird_irs,trade_global_id,StringType,FALSE,,,GLOBALID,,N,392
IRD,IRS,,/MxML/trades/trade/tradeHeader/tradeViews/tradeView[1]/entity,murex_trade_ird_irs,entity,StringType,TRUE,,,,,Y,
IRD,IRS,,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/legalEntity,murex_trade_ird_irs,legal_entity,StringType,TRUE,,,,,N,11
IRD,IRS,,/MxML/trades/trade/tradeHeader/contractReference/businessObjectId/identifier,murex_trade_ird_irs,contract_id,StringType,TRUE,,,MUREXCONT,,Y,13
IRD,IRS,,/MxML/trades/trade/tradeHeader/contractReference/contractId/rootContract,murex_trade_ird_irs,root_contract_id,StringType,TRUE,,,,,Y,16
IRD,IRS,,/MxML/trades/trade/businessObjectId/identifier,murex_trade_ird_irs,trade_id,StringType,FALSE,,,TRADENUMB,,Y,17
